Date,Site,Transect,Round,Long_Station,Size_class_mm,Category_total
2021-06-08,PCX-3,,3,8,4,7
2021-06-08,PCX-3,,3,8,2.8,1
2021-06-08,PCX-3,,3,8,2,0
2021-06-08,PCX-3,,3,8,1.9,52
2021-06-08,PCX-4,,3,4,256,6
2021-06-08,PCX-4,,3,4,180,0
2021-06-08,PCX-4,,3,4,128,3
2021-06-08,PCX-4,,3,4,90,4
2021-06-08,PCX-4,,3,4,64,2
2021-06-08,PCX-4,,3,4,45,4
2021-06-08,PCX-4,,3,4,32,10
2021-06-08,PCX-4,,3,4,22.6,3
2021-06-08,PCX-4,,3,4,16,2
2021-06-08,PCX-4,,3,4,11.3,1
2021-06-08,PCX-4,,3,4,8,0
2021-06-08,PCX-4,,3,4,5.6,0
2021-06-08,PCX-4,,3,4,4,0
2021-06-08,PCX-4,,3,4,2.8,1
2021-06-08,PCX-4,,3,4,2,0
2021-06-08,PCX-4,,3,4,1.9,64
2021-06-08,PCX-5,,3,5,256,0
2021-06-08,PCX-5,,3,5,180,0
2021-06-08,PCX-5,,3,5,128,0
2021-06-08,PCX-5,,3,5,90,4
2021-06-08,PCX-5,,3,5,64,3
2021-06-08,PCX-5,,3,5,45,2
2021-06-08,PCX-5,,3,5,32,8
2021-06-08,PCX-5,,3,5,22.6,4
2021-06-08,PCX-5,,3,5,16,2
2021-06-08,PCX-5,,3,5,11.3,4
2021-06-08,PCX-5,,3,5,8,3
2021-06-08,PCX-5,,3,5,5.6,1
2021-06-08,PCX-5,,3,5,4,0
2021-06-08,PCX-5,,3,5,2.8,0
2021-06-08,PCX-5,,3,5,2,0
2021-06-08,PCX-5,,3,5,1.9,69
2021-06-21,Big Creek eFishing ,1,3,9,256,38
2021-06-21,Big Creek eFishing ,1,3,9,180,0
2021-06-21,Big Creek eFishing ,1,3,9,128,3
2021-06-21,Big Creek eFishing ,1,3,9,90,4
2021-06-21,Big Creek eFishing ,1,3,9,64,1
2021-06-21,Big Creek eFishing ,1,3,9,45,1
2021-06-21,Big Creek eFishing ,1,3,9,32,0
2021-06-21,Big Creek eFishing ,1,3,9,22.6,4
2021-06-21,Big Creek eFishing ,1,3,9,16,6
2021-06-21,Big Creek eFishing ,1,3,9,11.3,8
2021-06-21,Big Creek eFishing ,1,3,9,8,1
2021-06-21,Big Creek eFishing ,1,3,9,5.6,3
