Date,Site,Transect,Round,Long_Station,Size_class_mm,Category_total
2020-11-23,Little Creek eFishing,1,1,11,256,0
2020-11-23,Little Creek eFishing,1,1,11,180,2
2020-11-23,Little Creek eFishing,1,1,11,128,6
2020-11-23,Little Creek eFishing,1,1,11,90,2
2020-11-23,Little Creek eFishing,1,1,11,64,12
2020-11-23,Little Creek eFishing,1,1,11,45,8
2020-11-23,Little Creek eFishing,1,1,11,32,10
2020-11-23,Little Creek eFishing,1,1,11,22.6,3
2020-11-23,Little Creek eFishing,1,1,11,16,3
2020-11-23,Little Creek eFishing,1,1,11,11.3,1
2020-11-23,Little Creek eFishing,1,1,11,8,0
2020-11-23,Little Creek eFishing,1,1,11,5.6,0
2020-11-23,Little Creek eFishing,1,1,11,4,0
2020-11-23,Little Creek eFishing,1,1,11,2.8,0
2020-11-23,Little Creek eFishing,1,1,11,2,0
2020-11-23,Little Creek eFishing,1,1,11,1.9,53
2020-11-23,Little Creek eFishing,2,1,11,256,11
2020-11-23,Little Creek eFishing,2,1,11,180,0
2020-11-23,Little Creek eFishing,2,1,11,128,3
2020-11-23,Little Creek eFishing,2,1,11,90,5
2020-11-23,Little Creek eFishing,2,1,11,64,3
2020-11-23,Little Creek eFishing,2,1,11,45,3
2020-11-23,Little Creek eFishing,2,1,11,32,5
2020-11-23,Little Creek eFishing,2,1,11,22.6,5
2020-11-23,Little Creek eFishing,2,1,11,16,5
2020-11-23,Little Creek eFishing,2,1,11,11.3,5
2020-11-23,Little Creek eFishing,2,1,11,8,3
2020-11-23,Little Creek eFishing,2,1,11,5.6,0
2020-11-23,Little Creek eFishing,2,1,11,4,4
2020-11-23,Little Creek eFishing,2,1,11,2.8,0
2020-11-23,Little Creek eFishing,2,1,11,2,0
2020-11-23,Little Creek eFishing,2,1,11,1.9,48
2020-11-23,Little Creek eFishing,3,1,11,256,26
2020-11-23,Little Creek eFishing,3,1,11,180,1
2020-11-23,Little Creek eFishing,3,1,11,128,0
2020-11-23,Little Creek eFishing,3,1,11,90,3
2020-11-23,Little Creek eFishing,3,1,11,64,2
2020-11-23,Little Creek eFishing,3,1,11,45,4
2020-11-23,Little Creek eFishing,3,1,11,32,1
2020-11-23,Little Creek eFishing,3,1,11,22.6,3
2020-11-23,Little Creek eFishing,3,1,11,16,4
2020-11-23,Little Creek eFishing,3,1,11,11.3,7
2020-11-23,Little Creek eFishing,3,1,11,8,1
2020-11-23,Little Creek eFishing,3,1,11,5.6,2
2020-11-23,Little Creek eFishing,3,1,11,4,2
2020-11-23,Little Creek eFishing,3,1,11,2.8,2
