Date,Site,Transect,Round,Long_Station,Size_class_mm,Category_total
2020-11-23,Little Creek eFishing,3,1,11,2,0
2020-11-23,Little Creek eFishing,3,1,11,1.9,42
2020-10-21,Lower Mainstem eFishing,1,1,1,256,0
2020-10-21,Lower Mainstem eFishing,1,1,1,180,0
2020-10-21,Lower Mainstem eFishing,1,1,1,128,6
2020-10-21,Lower Mainstem eFishing,1,1,1,90,8
2020-10-21,Lower Mainstem eFishing,1,1,1,64,1
2020-10-21,Lower Mainstem eFishing,1,1,1,45,3
2020-10-21,Lower Mainstem eFishing,1,1,1,32,5
2020-10-21,Lower Mainstem eFishing,1,1,1,22.6,5
2020-10-21,Lower Mainstem eFishing,1,1,1,16,7
2020-10-21,Lower Mainstem eFishing,1,1,1,11.3,5
2020-10-21,Lower Mainstem eFishing,1,1,1,8,4
2020-10-21,Lower Mainstem eFishing,1,1,1,5.6,3
2020-10-21,Lower Mainstem eFishing,1,1,1,4,2
2020-10-21,Lower Mainstem eFishing,1,1,1,2.8,1
2020-10-21,Lower Mainstem eFishing,1,1,1,2,0
2020-10-21,Lower Mainstem eFishing,1,1,1,1.9,50
2020-10-21,Lower Mainstem eFishing,2,1,1,256,0
2020-10-21,Lower Mainstem eFishing,2,1,1,180,4
2020-10-21,Lower Mainstem eFishing,2,1,1,128,7
2020-10-21,Lower Mainstem eFishing,2,1,1,90,8
2020-10-21,Lower Mainstem eFishing,2,1,1,64,8
2020-10-21,Lower Mainstem eFishing,2,1,1,45,10
2020-10-21,Lower Mainstem eFishing,2,1,1,32,4
2020-10-21,Lower Mainstem eFishing,2,1,1,22.6,3
2020-10-21,Lower Mainstem eFishing,2,1,1,16,3
2020-10-21,Lower Mainstem eFishing,2,1,1,11.3,5
2020-10-21,Lower Mainstem eFishing,2,1,1,8,0
2020-10-21,Lower Mainstem eFishing,2,1,1,5.6,4
2020-10-21,Lower Mainstem eFishing,2,1,1,4,15
2020-10-21,Lower Mainstem eFishing,2,1,1,2.8,8
2020-10-21,Lower Mainstem eFishing,2,1,1,2,2
2020-10-21,Lower Mainstem eFishing,2,1,1,1.9,19
2020-10-21,Lower Mainstem eFishing,3,1,1,256,0
2020-10-21,Lower Mainstem eFishing,3,1,1,180,7
2020-10-21,Lower Mainstem eFishing,3,1,1,128,9
2020-10-21,Lower Mainstem eFishing,3,1,1,90,6
2020-10-21,Lower Mainstem eFishing,3,1,1,64,3
2020-10-21,Lower Mainstem eFishing,3,1,1,45,4
2020-10-21,Lower Mainstem eFishing,3,1,1,32,1
2020-10-21,Lower Mainstem eFishing,3,1,1,22.6,2
2020-10-21,Lower Mainstem eFishing,3,1,1,16,0
2020-10-21,Lower Mainstem eFishing,3,1,1,11.3,3
2020-10-21,Lower Mainstem eFishing,3,1,1,8,2
2020-10-21,Lower Mainstem eFishing,3,1,1,5.6,3
2020-10-21,Lower Mainstem eFishing,3,1,1,4,13
2020-10-21,Lower Mainstem eFishing,3,1,1,2.8,6
2020-10-21,Lower Mainstem eFishing,3,1,1,2,0
2020-10-21,Lower Mainstem eFishing,3,1,1,1.9,41
2020-11-02,Upper Mainstem eFishing,1,1,6,256,0
2020-11-02,Upper Mainstem eFishing,1,1,6,180,0
2020-11-02,Upper Mainstem eFishing,1,1,6,128,1
2020-11-02,Upper Mainstem eFishing,1,1,6,90,14
2020-11-02,Upper Mainstem eFishing,1,1,6,64,7
2020-11-02,Upper Mainstem eFishing,1,1,6,45,21
2020-11-02,Upper Mainstem eFishing,1,1,6,32,18
2020-11-02,Upper Mainstem eFishing,1,1,6,22.6,10
2020-11-02,Upper Mainstem eFishing,1,1,6,16,5
2020-11-02,Upper Mainstem eFishing,1,1,6,11.3,1
2020-11-02,Upper Mainstem eFishing,1,1,6,8,1
2020-11-02,Upper Mainstem eFishing,1,1,6,5.6,0
2020-11-02,Upper Mainstem eFishing,1,1,6,4,0
2020-11-02,Upper Mainstem eFishing,1,1,6,2.8,0
2020-11-02,Upper Mainstem eFishing,1,1,6,2,0
2020-11-02,Upper Mainstem eFishing,1,1,6,1.9,22
2020-11-02,Upper Mainstem eFishing,2,1,6,256,0
2020-11-02,Upper Mainstem eFishing,2,1,6,180,0
2020-11-02,Upper Mainstem eFishing,2,1,6,128,0
2020-11-02,Upper Mainstem eFishing,2,1,6,90,1
2020-11-02,Upper Mainstem eFishing,2,1,6,64,8
2020-11-02,Upper Mainstem eFishing,2,1,6,45,13
2020-11-02,Upper Mainstem eFishing,2,1,6,32,19
2020-11-02,Upper Mainstem eFishing,2,1,6,22.6,7
2020-11-02,Upper Mainstem eFishing,2,1,6,16,14
2020-11-02,Upper Mainstem eFishing,2,1,6,11.3,6
2020-11-02,Upper Mainstem eFishing,2,1,6,8,1
2020-11-02,Upper Mainstem eFishing,2,1,6,5.6,7
2020-11-02,Upper Mainstem eFishing,2,1,6,4,1
2020-11-02,Upper Mainstem eFishing,2,1,6,2.8,0
2020-11-02,Upper Mainstem eFishing,2,1,6,2,0
2020-11-02,Upper Mainstem eFishing,2,1,6,1.9,23
2020-11-02,Upper Mainstem eFishing,3,1,6,256,0
2020-11-02,Upper Mainstem eFishing,3,1,6,180,0
2020-11-02,Upper Mainstem eFishing,3,1,6,128,0
2020-11-02,Upper Mainstem eFishing,3,1,6,90,1
2020-11-02,Upper Mainstem eFishing,3,1,6,64,2
2020-11-02,Upper Mainstem eFishing,3,1,6,45,9
2020-11-02,Upper Mainstem eFishing,3,1,6,32,21
2020-11-02,Upper Mainstem eFishing,3,1,6,22.6,16
2020-11-02,Upper Mainstem eFishing,3,1,6,16,15
2020-11-02,Upper Mainstem eFishing,3,1,6,11.3,9
2020-11-02,Upper Mainstem eFishing,3,1,6,8,5
2020-11-02,Upper Mainstem eFishing,3,1,6,5.6,0
2020-11-02,Upper Mainstem eFishing,3,1,6,4,2
2020-11-02,Upper Mainstem eFishing,3,1,6,2.8,0
2020-11-02,Upper Mainstem eFishing,3,1,6,2,0
2020-11-02,Upper Mainstem eFishing,3,1,6,1.9,20
2020-11-04,Dog eFishing,1,1,7,256,1
2020-11-04,Dog eFishing,1,1,7,180,0
2020-11-04,Dog eFishing,1,1,7,128,0
2020-11-04,Dog eFishing,1,1,7,90,11
2020-11-04,Dog eFishing,1,1,7,64,8
2020-11-04,Dog eFishing,1,1,7,45,10
2020-11-04,Dog eFishing,1,1,7,32,8
2020-11-04,Dog eFishing,1,1,7,22.6,9
2020-11-04,Dog eFishing,1,1,7,16,8
2020-11-04,Dog eFishing,1,1,7,11.3,6
2020-11-04,Dog eFishing,1,1,7,8,1
2020-11-04,Dog eFishing,1,1,7,5.6,1
2020-11-04,Dog eFishing,1,1,7,4,2
2020-11-04,Dog eFishing,1,1,7,2.8,0
2020-11-04,Dog eFishing,1,1,7,2,0
2020-11-04,Dog eFishing,1,1,7,1.9,35
2020-11-04,Dog eFishing,2,1,7,256,0
2020-11-04,Dog eFishing,2,1,7,180,0
2020-11-04,Dog eFishing,2,1,7,128,1
2020-11-04,Dog eFishing,2,1,7,90,2
2020-11-04,Dog eFishing,2,1,7,64,4
2020-11-04,Dog eFishing,2,1,7,45,8
2020-11-04,Dog eFishing,2,1,7,32,8
2020-11-04,Dog eFishing,2,1,7,22.6,10
2020-11-04,Dog eFishing,2,1,7,16,7
2020-11-04,Dog eFishing,2,1,7,11.3,2
2020-11-04,Dog eFishing,2,1,7,8,6
2020-11-04,Dog eFishing,2,1,7,5.6,8
2020-11-04,Dog eFishing,2,1,7,4,7
2020-11-04,Dog eFishing,2,1,7,2.8,2
2020-11-04,Dog eFishing,2,1,7,2,0
2020-11-04,Dog eFishing,2,1,7,1.9,35
2020-11-04,Dog eFishing,3,1,7,256,1
2020-11-04,Dog eFishing,3,1,7,180,0
2020-11-04,Dog eFishing,3,1,7,128,0
2020-11-04,Dog eFishing,3,1,7,90,1
2020-11-04,Dog eFishing,3,1,7,64,3
2020-11-04,Dog eFishing,3,1,7,45,17
2020-11-04,Dog eFishing,3,1,7,32,8
2020-11-04,Dog eFishing,3,1,7,22.6,9
2020-11-04,Dog eFishing,3,1,7,16,1
2020-11-04,Dog eFishing,3,1,7,11.3,1
2020-11-04,Dog eFishing,3,1,7,8,0
2020-11-04,Dog eFishing,3,1,7,5.6,3
2020-11-04,Dog eFishing,3,1,7,4,2
2020-11-04,Dog eFishing,3,1,7,2.8,2
2020-11-04,Dog eFishing,3,1,7,2,0
2020-11-04,Dog eFishing,3,1,7,1.9,52
2020-11-05,Big Creek eFishing,1,1,9,256,18
2020-11-05,Big Creek eFishing,1,1,9,180,14
2020-11-05,Big Creek eFishing,1,1,9,128,13
2020-11-05,Big Creek eFishing,1,1,9,90,9
2020-11-05,Big Creek eFishing,1,1,9,64,1
2020-11-05,Big Creek eFishing,1,1,9,45,3
2020-11-05,Big Creek eFishing,1,1,9,32,3
2020-11-05,Big Creek eFishing,1,1,9,22.6,1
2020-11-05,Big Creek eFishing,1,1,9,16,2
2020-11-05,Big Creek eFishing,1,1,9,11.3,1
2020-11-05,Big Creek eFishing,1,1,9,8,3
2020-11-05,Big Creek eFishing,1,1,9,5.6,2
2020-11-05,Big Creek eFishing,1,1,9,4,0
2020-11-05,Big Creek eFishing,1,1,9,2.8,1
2020-11-05,Big Creek eFishing,1,1,9,2,0
2020-11-05,Big Creek eFishing,1,1,9,1.9,29
2020-11-05,Big Creek eFishing,2,1,9,256,43
2020-11-05,Big Creek eFishing,2,1,9,180,2
2020-11-05,Big Creek eFishing,2,1,9,128,6
2020-11-05,Big Creek eFishing,2,1,9,90,1
2020-11-05,Big Creek eFishing,2,1,9,64,4
2020-11-05,Big Creek eFishing,2,1,9,45,5
2020-11-05,Big Creek eFishing,2,1,9,32,3
2020-11-05,Big Creek eFishing,2,1,9,22.6,1
2020-11-05,Big Creek eFishing,2,1,9,16,2
2020-11-05,Big Creek eFishing,2,1,9,11.3,2
2020-11-05,Big Creek eFishing,2,1,9,8,0
2020-11-05,Big Creek eFishing,2,1,9,5.6,0
2020-11-05,Big Creek eFishing,2,1,9,4,1
2020-11-05,Big Creek eFishing,2,1,9,2.8,0
2020-11-05,Big Creek eFishing,2,1,9,2,0
2020-11-05,Big Creek eFishing,2,1,9,1.9,30
2020-11-05,Big Creek eFishing,3,1,9,256,20
2020-11-05,Big Creek eFishing,3,1,9,180,2
2020-11-05,Big Creek eFishing,3,1,9,128,4
2020-11-05,Big Creek eFishing,3,1,9,90,3
2020-11-05,Big Creek eFishing,3,1,9,64,1
2020-11-05,Big Creek eFishing,3,1,9,45,3
2020-11-05,Big Creek eFishing,3,1,9,32,9
2020-11-05,Big Creek eFishing,3,1,9,22.6,3
2020-11-05,Big Creek eFishing,3,1,9,16,0
2020-11-05,Big Creek eFishing,3,1,9,11.3,2
2020-11-05,Big Creek eFishing,3,1,9,8,2
2020-11-05,Big Creek eFishing,3,1,9,5.6,2
2020-11-05,Big Creek eFishing,3,1,9,4,1
2020-11-05,Big Creek eFishing,3,1,9,2.8,0
2020-11-05,Big Creek eFishing,3,1,9,2,0
2020-11-05,Big Creek eFishing,3,1,9,1.9,48
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,256,19
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,180,6
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,128,20
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,90,18
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,64,8
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,45,6
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,32,6
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,22.6,3
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,16,0
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,11.3,3
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,8,2
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,5.6,4
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,4,0
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,2.8,0
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,2,0
2020-11-10,Big Creek Powerhouse eFishing,1,1,10,1.9,5
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,256,33
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,180,3
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,128,2
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,90,2
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,64,1
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,45,3
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,32,1
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,22.6,1
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,16,2
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,11.3,0
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,8,1
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,5.6,2
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,4,1
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,2.8,0
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,2,0
2020-11-10,Big Creek Powerhouse eFishing,2,1,10,1.9,48
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,256,46
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,180,5
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,128,5
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,90,5
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,64,0
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,45,0
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,32,2
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,22.6,1
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,16,0
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,11.3,1
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,8,0
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,5.6,1
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,4,0
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,2.8,0
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,2,0
2020-11-10,Big Creek Powerhouse eFishing,3,1,10,1.9,34
2020-11-20,PCX-1,,1,2,256,0
2020-11-20,PCX-1,,1,2,180,5
2020-11-20,PCX-1,,1,2,128,6
2020-11-20,PCX-1,,1,2,90,10
2020-11-20,PCX-1,,1,2,64,6
2020-11-20,PCX-1,,1,2,45,12
2020-11-20,PCX-1,,1,2,32,4
2020-11-20,PCX-1,,1,2,22.6,10
2020-11-20,PCX-1,,1,2,16,4
2020-11-20,PCX-1,,1,2,11.3,9
2020-11-20,PCX-1,,1,2,8,2
2020-11-20,PCX-1,,1,2,5.6,1
2020-11-20,PCX-1,,1,2,4,1
2020-11-20,PCX-1,,1,2,2.8,0
2020-11-20,PCX-1,,1,2,2,0
2020-11-20,PCX-1,,1,2,1.9,30
2020-11-20,PCX-2,,1,3,256,19
2020-11-20,PCX-2,,1,3,180,1
2020-11-20,PCX-2,,1,3,128,15
2020-11-20,PCX-2,,1,3,90,7
2020-11-20,PCX-2,,1,3,64,7
2020-11-20,PCX-2,,1,3,45,3
2020-11-20,PCX-2,,1,3,32,5
2020-11-20,PCX-2,,1,3,22.6,0
2020-11-20,PCX-2,,1,3,16,1
2020-11-20,PCX-2,,1,3,11.3,3
2020-11-20,PCX-2,,1,3,8,3
2020-11-20,PCX-2,,1,3,5.6,3
2020-11-20,PCX-2,,1,3,4,3
2020-11-20,PCX-2,,1,3,2.8,2
2020-11-20,PCX-2,,1,3,2,1
2020-11-20,PCX-2,,1,3,1.9,27
2020-11-20,PCX-3,,1,8,256,1
2020-11-20,PCX-3,,1,8,180,2
2020-11-20,PCX-3,,1,8,128,9
2020-11-20,PCX-3,,1,8,90,7
2020-11-20,PCX-3,,1,8,64,4
2020-11-20,PCX-3,,1,8,45,4
2020-11-20,PCX-3,,1,8,32,1
2020-11-20,PCX-3,,1,8,22.6,3
2020-11-20,PCX-3,,1,8,16,3
2020-11-20,PCX-3,,1,8,11.3,3
2020-11-20,PCX-3,,1,8,8,1
2020-11-20,PCX-3,,1,8,5.6,2
2020-11-20,PCX-3,,1,8,4,2
2020-11-20,PCX-3,,1,8,2.8,5
2020-11-20,PCX-3,,1,8,2,0
2020-11-20,PCX-3,,1,8,1.9,53
2020-11-20,PCX-4,,1,4,256,0
2020-11-20,PCX-4,,1,4,180,0
2020-11-20,PCX-4,,1,4,128,3
2020-11-20,PCX-4,,1,4,90,0
2020-11-20,PCX-4,,1,4,64,3
2020-11-20,PCX-4,,1,4,45,9
2020-11-20,PCX-4,,1,4,32,8
2020-11-20,PCX-4,,1,4,22.6,11
2020-11-20,PCX-4,,1,4,16,5
2020-11-20,PCX-4,,1,4,11.3,2
2020-11-20,PCX-4,,1,4,8,0
2020-11-20,PCX-4,,1,4,5.6,0
2020-11-20,PCX-4,,1,4,4,1
2020-11-20,PCX-4,,1,4,2.8,0
2020-11-20,PCX-4,,1,4,2,0
2020-11-20,PCX-4,,1,4,1.9,58
2020-11-20,PCX-5,,1,5,256,0
2020-11-20,PCX-5,,1,5,180,0
2020-11-20,PCX-5,,1,5,128,1
2020-11-20,PCX-5,,1,5,90,2
2020-11-20,PCX-5,,1,5,64,4
2020-11-20,PCX-5,,1,5,45,5
2020-11-20,PCX-5,,1,5,32,6
2020-11-20,PCX-5,,1,5,22.6,9
2020-11-20,PCX-5,,1,5,16,14
2020-11-20,PCX-5,,1,5,11.3,8
2020-11-20,PCX-5,,1,5,8,7
2020-11-20,PCX-5,,1,5,5.6,6
2020-11-20,PCX-5,,1,5,4,5
2020-11-20,PCX-5,,1,5,2.8,2
2020-11-20,PCX-5,,1,5,2,0
2020-11-20,PCX-5,,1,5,1.9,31
2021-02-24,Lower Mainstem eFishing,1,2,1,256,0
2021-02-24,Lower Mainstem eFishing,1,2,1,180,0
2021-02-24,Lower Mainstem eFishing,1,2,1,128,4
2021-02-24,Lower Mainstem eFishing,1,2,1,90,2
2021-02-24,Lower Mainstem eFishing,1,2,1,64,5
2021-02-24,Lower Mainstem eFishing,1,2,1,45,6
2021-02-24,Lower Mainstem eFishing,1,2,1,32,14
2021-02-24,Lower Mainstem eFishing,1,2,1,22.6,10
2021-02-24,Lower Mainstem eFishing,1,2,1,16,5
2021-02-24,Lower Mainstem eFishing,1,2,1,11.3,6
2021-02-24,Lower Mainstem eFishing,1,2,1,8,4
2021-02-24,Lower Mainstem eFishing,1,2,1,5.6,3
2021-02-24,Lower Mainstem eFishing,1,2,1,4,1
2021-02-24,Lower Mainstem eFishing,1,2,1,2.8,0
2021-02-24,Lower Mainstem eFishing,1,2,1,2,0
2021-02-24,Lower Mainstem eFishing,1,2,1,1.9,40
2021-03-04,Lower Mainstem eFishing,2,2,1,256,14
2021-03-04,Lower Mainstem eFishing,2,2,1,180,0
2021-03-04,Lower Mainstem eFishing,2,2,1,128,3
2021-03-04,Lower Mainstem eFishing,2,2,1,90,2
2021-03-04,Lower Mainstem eFishing,2,2,1,64,5
2021-03-04,Lower Mainstem eFishing,2,2,1,45,7
2021-03-04,Lower Mainstem eFishing,2,2,1,32,7
2021-03-04,Lower Mainstem eFishing,2,2,1,22.6,1
2021-03-04,Lower Mainstem eFishing,2,2,1,16,4
2021-03-04,Lower Mainstem eFishing,2,2,1,11.3,0
2021-03-04,Lower Mainstem eFishing,2,2,1,8,1
2021-03-04,Lower Mainstem eFishing,2,2,1,5.6,2
2021-03-04,Lower Mainstem eFishing,2,2,1,4,0
2021-03-04,Lower Mainstem eFishing,2,2,1,2.8,0
2021-03-04,Lower Mainstem eFishing,2,2,1,2,0
2021-03-04,Lower Mainstem eFishing,2,2,1,1.9,54
2021-02-24,Lower Mainstem eFishing,3,2,1,256,9
2021-02-24,Lower Mainstem eFishing,3,2,1,180,0
2021-02-24,Lower Mainstem eFishing,3,2,1,128,0
2021-02-24,Lower Mainstem eFishing,3,2,1,90,0
2021-02-24,Lower Mainstem eFishing,3,2,1,64,4
2021-02-24,Lower Mainstem eFishing,3,2,1,45,5
2021-02-24,Lower Mainstem eFishing,3,2,1,32,9
2021-02-24,Lower Mainstem eFishing,3,2,1,22.6,6
2021-02-24,Lower Mainstem eFishing,3,2,1,16,7
2021-02-24,Lower Mainstem eFishing,3,2,1,11.3,2
2021-02-24,Lower Mainstem eFishing,3,2,1,8,8
2021-02-24,Lower Mainstem eFishing,3,2,1,5.6,6
2021-02-24,Lower Mainstem eFishing,3,2,1,4,5
2021-02-24,Lower Mainstem eFishing,3,2,1,2.8,3
2021-02-24,Lower Mainstem eFishing,3,2,1,2,4
2021-02-24,Lower Mainstem eFishing,3,2,1,1.9,32
2021-02-24,Little Creek eFishing,1,2,11,256,0
2021-02-24,Little Creek eFishing,1,2,11,180,0
2021-02-24,Little Creek eFishing,1,2,11,128,1
2021-02-24,Little Creek eFishing,1,2,11,90,1
2021-02-24,Little Creek eFishing,1,2,11,64,1
2021-02-24,Little Creek eFishing,1,2,11,45,1
2021-02-24,Little Creek eFishing,1,2,11,32,4
2021-02-24,Little Creek eFishing,1,2,11,22.6,7
2021-02-24,Little Creek eFishing,1,2,11,16,9
2021-02-24,Little Creek eFishing,1,2,11,11.3,4
2021-02-24,Little Creek eFishing,1,2,11,8,4
2021-02-24,Little Creek eFishing,1,2,11,5.6,4
2021-02-24,Little Creek eFishing,1,2,11,4,1
2021-02-24,Little Creek eFishing,1,2,11,2.8,1
2021-02-24,Little Creek eFishing,1,2,11,2,1
2021-02-24,Little Creek eFishing,1,2,11,1.9,61
2021-02-24,Little Creek eFishing,2,2,11,256,8
2021-02-24,Little Creek eFishing,2,2,11,180,0
2021-02-24,Little Creek eFishing,2,2,11,128,0
2021-02-24,Little Creek eFishing,2,2,11,90,3
2021-02-24,Little Creek eFishing,2,2,11,64,1
2021-02-24,Little Creek eFishing,2,2,11,45,1
2021-02-24,Little Creek eFishing,2,2,11,32,1
2021-02-24,Little Creek eFishing,2,2,11,22.6,3
2021-02-24,Little Creek eFishing,2,2,11,16,5
2021-02-24,Little Creek eFishing,2,2,11,11.3,5
2021-02-24,Little Creek eFishing,2,2,11,8,4
2021-02-24,Little Creek eFishing,2,2,11,5.6,2
2021-02-24,Little Creek eFishing,2,2,11,4,6
2021-02-24,Little Creek eFishing,2,2,11,2.8,1
2021-02-24,Little Creek eFishing,2,2,11,2,0
2021-02-24,Little Creek eFishing,2,2,11,1.9,60
2021-02-24,Little Creek eFishing,3,2,11,256,17
2021-02-24,Little Creek eFishing,3,2,11,180,0
2021-02-24,Little Creek eFishing,3,2,11,128,0
2021-02-24,Little Creek eFishing,3,2,11,90,4
2021-02-24,Little Creek eFishing,3,2,11,64,4
2021-02-24,Little Creek eFishing,3,2,11,45,3
2021-02-24,Little Creek eFishing,3,2,11,32,2
2021-02-24,Little Creek eFishing,3,2,11,22.6,3
2021-02-24,Little Creek eFishing,3,2,11,16,3
2021-02-24,Little Creek eFishing,3,2,11,11.3,1
2021-02-24,Little Creek eFishing,3,2,11,8,3
2021-02-24,Little Creek eFishing,3,2,11,5.6,4
2021-02-24,Little Creek eFishing,3,2,11,4,2
2021-02-24,Little Creek eFishing,3,2,11,2.8,0
2021-02-24,Little Creek eFishing,3,2,11,2,0
2021-02-24,Little Creek eFishing,3,2,11,1.9,54
2021-02-25,Big Creek eFishing,1,2,9,256,48
2021-02-25,Big Creek eFishing,1,2,9,180,0
2021-02-25,Big Creek eFishing,1,2,9,128,4
2021-02-25,Big Creek eFishing,1,2,9,90,1
2021-02-25,Big Creek eFishing,1,2,9,64,2
2021-02-25,Big Creek eFishing,1,2,9,45,1
2021-02-25,Big Creek eFishing,1,2,9,32,1
2021-02-25,Big Creek eFishing,1,2,9,22.6,2
2021-02-25,Big Creek eFishing,1,2,9,16,4
2021-02-25,Big Creek eFishing,1,2,9,11.3,1
2021-02-25,Big Creek eFishing,1,2,9,8,3
2021-02-25,Big Creek eFishing,1,2,9,5.6,3
2021-02-25,Big Creek eFishing,1,2,9,4,3
2021-02-25,Big Creek eFishing,1,2,9,2.8,0
2021-02-25,Big Creek eFishing,1,2,9,2,0
2021-02-25,Big Creek eFishing,1,2,9,1.9,27
2021-02-25,Big Creek eFishing,2,2,9,256,55
2021-02-25,Big Creek eFishing,2,2,9,180,0
2021-02-25,Big Creek eFishing,2,2,9,128,6
2021-02-25,Big Creek eFishing,2,2,9,90,4
2021-02-25,Big Creek eFishing,2,2,9,64,1
2021-02-25,Big Creek eFishing,2,2,9,45,0
2021-02-25,Big Creek eFishing,2,2,9,32,1
2021-02-25,Big Creek eFishing,2,2,9,22.6,2
2021-02-25,Big Creek eFishing,2,2,9,16,6
2021-02-25,Big Creek eFishing,2,2,9,11.3,0
2021-02-25,Big Creek eFishing,2,2,9,8,0
2021-02-25,Big Creek eFishing,2,2,9,5.6,0
2021-02-25,Big Creek eFishing,2,2,9,4,1
2021-02-25,Big Creek eFishing,2,2,9,2.8,0
2021-02-25,Big Creek eFishing,2,2,9,2,1
2021-02-25,Big Creek eFishing,2,2,9,1.9,23
